name	location	log_t_250.0	dlog_t_250.0	log_t_125.0	dlog_t_125.0	log_t_50.0	dlog_t_50.0	log_t_25.0	dlog_t_25.0	log_t_10.0	dlog_t_10.0	log_t_5.0	dlog_t_5.0	log_t_2.5	dlog_t_2.5	log_t_0.0	dlog_t_0.0
c71r18.35L21	b2B7	2.070031567871325	0.21719202978651753	1.7341366614993554	0.22031356428238064			1.019102778255507	0.2030572579420555	0.5491184143110752	0.16628375652184277	0.0054385227745140695	0.13898126226918633	-1.154310998211954	0.04110229300132433	-2.013597033977112	0.25492033855806373
c71r18.35L23	b2B9	-2.766889626497455	0.35575229808235187	-2.9816917387240927	0.2690683300559264											-5.180696891746577	0.9838224309724205
61c-ocl	b5A8	-4.95558537844657	0.4772087620776486													-2.6525225010858517	0.18572712115984438
61c-oc0	b5E4	-1.691992799835585	0.1460854088001376													1.3573661202424672	0.08815415047599003
61c-ocl.35L01	b5B2	-5.42684749625954	1.395135964047372													-3.139291319838558	0.05327560689307802
61c-ocl.35L02	b5B3	-5.057493535048004	1.2328333820975363													-2.840255837685068	0.37376125621507417
61c-ocl.35L04	b5B5	-4.600446228999842	0.5509248827971346													-4.516904954152669	0.056884554288878265
61c-ocl.35L06	b5B7	-6.212295659753256	0.8243851940841309													-5.7850614610795015	0.13094079392391175
61c-ocl.35L07	b5B8	-4.0747035318981775	0.30691181964273867	-2.873467478416473	0.33673155576244956											-1.2888866157478909	0.153872512674014
61c-ocl.35L08	b5B9	-6.613824915273427	0.1315586989696283													-5.108821310974087	0.13067213782588666
61c-ocl.35L09	b5C1	-6.289219191191845	0.32481717552149963													-5.3184230959939605	0.19107051614984033
61c-ocl.35L10	b5C2	-5.617593798483294	0.22088306956021													-5.452761061587741	0.1025498519350406
61c-ocl.35L11	b5C3	-3.659991966372554	0.26343223575901603													-0.7627481461714455	0.1577412011332328
61c-ocl.35L12	b5C4	-5.8091022623250215	0.3277272051537384													-5.737625701355226	0.28911649250520494
61c-ocl.35L13	b5C5	-6.686970791109001	0.6930787415405077													-6.204202708962769	1.0435751514356613
61c-ocl.35L15	b5C7	-6.44349079035537	0.8093522197554565													-5.983990978664574	0.3443594966762878
61c-ocl.35L16	b5C8	-6.049604672990408	0.19866174516740795													-5.390315243097169	0.25871936490181335
61c-ocl.35L17	b5C9	-5.335320601569093	1.3952575858818141													-5.1401443111065905	0.20567510749064197
61c-ocl.35L18	b5D1	-6.123864774551522	0.3500507369242607	-5.331487953157249	0.7259672370425219											-4.720107258167268	0.4160552357439168
61c-ocl.35L19	b5D2	-6.233677777155357	0.2882212204334735													-6.010750849062994	0.12358745823835961
61c-ocl.35L20	b5D3	-5.250924723462837	0.8032779500701125													-5.908641082533129	0.02713178197999534
61c-ocl.35L21	b5D4	-5.297250106369712	0.2293488563502553													-4.992217286204452	0.08800799487014124
61c-ocl.35L22	b5D5	-5.037601863567358	0.831540440943517													-4.440295024215118	0.06345451717352726
61c-ocl.35L23	b5D6	-6.449604080281322	0.7983146668389901													-6.303366295002062	0.188527662131541
61c-ocl.35L24	b5D7	-6.504714203152291	0.05753105450909111													-5.861824894347916	0.0847324635747296
oc0.35L01	b5F2	-1.7199680061846057	0.29573621773196906			0.48830859033068247	0.14300309609534714	0.7987328222599481	0.19957239818765357	1.3868436209321358	0.16481489749387454	1.7366744090437416	0.22329220301669414	1.559421516483585	0.17927602497273656	1.2866709171119812	0.3901558935856328
oc0.35L02	b5F3	-2.197955959751369	0.2955412180961169													1.1652330325805609	0.34025275373771935
oc0.35L03	b5F4															-3.118923605878133	0.07078254297947151
oc0.35L04	b5F5	-6.056529392021499	0.6645836513263323	-5.522487255329177	0.16233098893256617											-3.538576515326666	0.42440145446020316
oc0.35L05	b5F6	-5.736154779747985	0.39283244458042765													-2.9112360817365883	0.3645552093092852
oc0.35L06	b5F7	-2.5950239066000202	0.18627895556507412													1.06798659193483	0.14347927185647422
oc0.35L07	b5F8	-5.647354762358424	0.19146187895339567													-2.8514534532295888	0.26013604981263067
oc0.35L08	b5F9															-0.9085543564567643	0.07665878383045978
oc0.35L09	b5G1	-5.667964850355267	0.4332272220625885													-2.0016497719004014	0.4007389778629785
oc0.35L11	b5G3	-6.411089940162691	0.09321415519035324													-4.010039559283084	0.19616804655164594
oc0.35L12	b5G4	-4.75010731509799	0.2153867802840923			-2.692470452656834	0.06890779355337942	-2.4089504245592286	0.14705204858522017	-1.8226498215273454	0.10487934791663216	-1.560472459988102	0.052906996444800646	-1.357959498872316	0.04203452245766776	-1.8068832801248118	0.14072376656806557
oc0.35L14	b5G6	-5.403899424440776	0.341817514291979													-3.7225121335271036	0.8525889526960404
oc0.35L16	b5G8															1.1878361442904428	0.07013127688806602
oc0.35L17	b5G9	-5.078027501197989	0.14110458831687064			-3.1294210040067876	0.14602763966405685	-2.8600661660006894	0.13876040063483416	-2.2679496869943594	0.09989916160638947	-1.969475798210681	0.2616280403558624	-1.696426407919997	0.02966393004475073	-2.261745630358851	0.18987474854052466
oc0.35L18	b5H1	-2.8298396184523043	0.44248255390720115	-1.91424366319033	0.34017787839697466			-0.4743270223990701	0.2026844271407623	0.14186966100559734	0.10052751549612648	0.5280254676435441	0.050994613992083104	0.4840954017805428	0.047612961566919465	0.12828074431471911	0.21797527558967425
oc0.35L19	b5H2	-3.0721687619295364	0.32608552684003733			-0.9905785492297748	0.15125694202887044	-0.629479141979776	0.2062424047693334	-0.009557133402186077	0.15745911903404763	0.28813731879836607	0.19183593480674288	0.27280101682327984	0.03563112179920009	-0.06872228537289171	0.13602919851027703
oc0.35L20	b5H3	-4.314951933945132	0.30188714369359043			-2.1536450654065917	0.11486845562623166	-1.859391280952014	1.3210379858383354	-3.5657930479920967	0.44523972888585484	-3.270644408795096	0.11183723562801881	-3.027012087182063	0.1098650714139889	-1.4115636703800056	1.1004814925997113
oc0.35L21	b5H4	-5.281114824094897	0.21035381244078546													-2.1311043783378483	0.24089095430879673
oc0.35L22	b5H5	-6.058951824769866	0.5974998748229278	-5.765940557739729	0.5052958277785952											-3.5057819230925924	0.5001259375176761
oc0.35L23	b5H6	-1.8924124072062796	0.3426941845354517			0.29327573124027556	0.1400084292643645	0.8117600168372185	0.207779349024101	1.487973393524408	0.09121552308165028	1.7250048911895088	0.12180067608870299	1.5818669822199338	0.17242776732547266	1.203831720070428	0.21229167018318987
oc0.35L24	b5H7	-2.6575546151935217	0.3671521442061172	-1.3889361094264163	0.01784767449515283	-0.5684213253524498	0.03601605542902504	-0.12169272826129769	0.25444048651663137	0.6177254051742845	0.09198797876774167	0.9462566142624274	0.024005925058657986	0.9031748013169507	0.0550322206372134	0.3599663841489053	0.30597343502287383
